C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2024/01/22,18:20:10,0000000409093080,,0000000409093040
I,DISPATCH,PRICE,4,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE
D,DISPATCH,PRICE,4,"2023/12/01 00:05:00",1,NSW1,20231130241,0,58,0,58,0,0,"2023/12/01 00:00:03",0.5,0.5,0,0.39,0.39,0,0.38,0.38,0,4.98,4.98,0,0.14,0.14,0,0.38,0.38,0,0.15,0.15,0,0.72,0.72,0,FIRM,58,0.5,0.39,0.38,4.98,0.14,0.38,0.15,0.72,19555.6894816666666666666666,1765.471120,1133.337830,840.189920,11728.677150,855.866190,3722.634890,558.5568,8241.186730
D,DISPATCH,PRICE,4,"2023/12/01 00:05:00",1,QLD1,20231130241,0,65.02448,0,65.02448,0,0,"2023/12/01 00:00:03",0.5,0.5,0,0.39,0.39,0,0.38,0.38,0,4.98,4.98,0,0.14,0.14,0,0.38,0.38,0,0.15,0.15,0,0.72,0.72,0,FIRM,65.02448,0.5,0.39,0.38,4.98,0.14,0.38,0.15,0.72,19659.9269216666666666666666,1765.471120,1133.337830,840.189920,11728.677150,855.866190,3722.634890,558.5568,8241.186730
D,DISPATCH,PRICE,4,"2023/12/01 00:05:00",1,SA1,20231130241,0,21.20916,0,21.20916,0,0,"2023/12/01 00:00:03",0.5,0.5,0,0.39,0.39,0,0.38,0.38,0,4.98,4.98,0,0.14,0.14,0,0.38,0.38,0,0.15,0.15,0,0.72,0.72,0,FIRM,21.20916,0.5,0.39,0.38,4.98,0.14,0.38,0.15,0.72,9502.313361666666666666666666,1765.471120,1133.337830,840.189920,11728.677150,855.866190,3722.634890,558.5568,8241.186730
D,DISPATCH,PRICE,4,"2023/12/01 00:05:00",1,TAS1,20231130241,0,54.3,0,54.3,0,0,"2023/12/01 00:00:03",0.5,0.5,0,0.39,0.39,0,0.38,0.38,0,6.47,6.47,0,0.14,0.14,0,0.38,0.38,0,0,0,0,4.57,4.57,0,FIRM,54.3,0.5,0.39,0.38,6.47,0.14,0.38,0,4.57,19080.1779233333333333333333,2124.106830,1205.527830,887.213010,21315.0448,861.626190,3385.271640,56.0040,10622.812870
D,DISPATCH,PRICE,4,"2023/12/01 00:05:00",1,VIC1,20231130241,0,19.12,0,19.12,0,0,"2023/12/01 00:00:03",0.5,0.5,0,0.39,0.39,0,0.38,0.38,0,4.98,4.98,0,0.14,0.14,0,0.38,0.38,0,0.15,0.15,0,0.72,0.72,0,FIRM,19.12,0.5,0.39,0.38,4.98,0.14,0.38,0.15,0.72,8522.934386666666666666666666,1765.471120,1133.337830,840.189920,11728.677150,855.866190,3722.634890,558.5568,8241.186730
D,DISPATCH,PRICE,4,"2023/12/01 00:10:00",1,NSW1,20231130242,0,87.15563,0,87.15563,0,0,"2023/12/01 00:05:02",0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.05,0.05,0,0.38,0.38,0,0.01,0.01,0,3.76,3.76,0,FIRM,87.15563,0.86,0.39,0.38,5,0.05,0.38,0.01,3.76,19555.6894816666666666666666,1765.481120,1133.337830,840.189920,11719.687150,855.576190,3722.624890,558.1768,8243.066730
D,DISPATCH,PRICE,4,"2023/12/01 00:10:00",1,QLD1,20231130242,0,96.01,0,96.01,0,0,"2023/12/01 00:05:02",0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.05,0.05,0,0.38,0.38,0,0.01,0.01,0,3.76,3.76,0,FIRM,96.01,0.86,0.39,0.38,5,0.05,0.38,0.01,3.76,19659.9269216666666666666666,1765.481120,1133.337830,840.189920,11719.687150,855.576190,3722.624890,558.1768,8243.066730
D,DISPATCH,PRICE,4,"2023/12/01 00:10:00",1,SA1,20231130242,0,21.31521,0,21.31521,0,0,"2023/12/01 00:05:02",0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.05,0.05,0,0.38,0.38,0,0.01,0.01,0,3.76,3.76,0,FIRM,21.31521,0.86,0.39,0.38,5,0.05,0.38,0.01,3.76,9502.313361666666666666666666,1765.481120,1133.337830,840.189920,11719.687150,855.576190,3722.624890,558.1768,8243.066730
D,DISPATCH,PRICE,4,"2023/12/01 00:10:00",1,TAS1,20231130242,0,30.12154,0,30.12154,0,0,"2023/12/01 00:05:02",0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,6.47,6.47,0,0.05,0.05,0,0.38,0.38,0,0,0,0,4.57,4.57,0,FIRM,30.12154,0.86,0.39,0.38,6.47,0.05,0.38,0,4.57,19080.1779233333333333333333,2124.116830,1205.527830,887.213010,21308.979360,861.336190,3385.261640,56.0040,10621.512870
D,DISPATCH,PRICE,4,"2023/12/01 00:10:00",1,VIC1,20231130242,0,19.12,0,19.12,0,0,"2023/12/01 00:05:02",0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.05,0.05,0,0.38,0.38,0,0.01,0.01,0,3.76,3.76,0,FIRM,19.12,0.86,0.39,0.38,5,0.05,0.38,0.01,3.76,8522.934386666666666666666666,1765.481120,1133.337830,840.189920,11719.687150,855.576190,3722.624890,558.1768,8243.066730
