C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2024/06/08,00:20:09,0000000422225377,,0000000422225337
I,DISPATCH,PRICE,4,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE
D,DISPATCH,PRICE,4,"2024/05/01 00:05:00",1,NSW1,20240430241,0,88.88982,0,88.88982,0,0,"2024/05/01 00:00:04",0.86,0.86,0,0.86,0.86,0,0.39,0.39,0,6.07,6.07,0,0.01,0.01,0,0.15,0.15,0,0.08,0.08,0,0.08,0.08,0,FIRM,88.88982,0.86,0.86,0.39,6.07,0.01,0.15,0.08,0.08,32491.0178016666666666666666,5233.102950,1276.160350,737.489760,12092.211760,1056.709030,2553.535270,702.340330,6333.6698
D,DISPATCH,PRICE,4,"2024/05/01 00:05:00",1,QLD1,20240430241,0,87.42395,0,87.42395,0,0,"2024/05/01 00:00:04",0.86,0.86,0,0.86,0.86,0,0.39,0.39,0,6.07,6.07,0,0.01,0.01,0,0.15,0.15,0,0.08,0.08,0,0.08,0.08,0,FIRM,87.42395,0.86,0.86,0.39,6.07,0.01,0.15,0.08,0.08,28642.528345,5233.102950,1276.160350,737.489760,12092.211760,1056.709030,2553.535270,702.340330,6333.6698
D,DISPATCH,PRICE,4,"2024/05/01 00:05:00",1,SA1,20240430241,0,116.48856,0,116.48856,0,0,"2024/05/01 00:00:04",0.86,0.86,0,0.86,0.86,0,0.39,0.39,0,6.07,6.07,0,0.01,0.01,0,0.15,0.15,0,0.08,0.08,0,0.08,0.08,0,FIRM,116.48856,0.86,0.86,0.39,6.07,0.01,0.15,0.08,0.08,32229.9811116666666666666666,5233.102950,1276.160350,737.489760,12092.211760,1056.709030,2553.535270,702.340330,6333.6698
D,DISPATCH,PRICE,4,"2024/05/01 00:05:00",1,TAS1,20240430241,0,110.29603,0,110.29603,0,0,"2024/05/01 00:00:04",0,0,0,0.86,0.86,0,0,0,0,5.63133,5.63133,0,4.65,4.65,0,1.75,1.75,0,0.38,0.38,0,3.34007,3.34007,0,FIRM,110.29603,0,0.86,0,5.63133,4.65,1.75,0.38,3.34007,23616.4574450000000000000000,12536.226280,768.6541,473.649310,15210.230620,6852.180020,2464.887820,480.058320,8320.7534
D,DISPATCH,PRICE,4,"2024/05/01 00:05:00",1,VIC1,20240430241,0,127.70851,0,127.70851,0,0,"2024/05/01 00:00:04",0.86,0.86,0,0.86,0.86,0,0.39,0.39,0,6.07,6.07,0,0.01,0.01,0,0.15,0.15,0,0.08,0.08,0,0.08,0.08,0,FIRM,127.70851,0.86,0.86,0.39,6.07,0.01,0.15,0.08,0.08,32509.8768833333333333333333,5233.102950,1276.160350,737.489760,12092.211760,1056.709030,2553.535270,702.340330,6333.6698
D,DISPATCH,PRICE,4,"2024/05/01 00:10:00",1,NSW1,20240430242,0,88.89,0,88.89,0,0,"2024/05/01 00:05:04",0.86,0.86,0,0.86,0.86,0,0.39,0.39,0,16.5,16.5,0,0.03,0.03,0,0.15,0.15,0,0.08,0.08,0,3.76,3.76,0,FIRM,88.89,0.86,0.86,0.39,16.5,0.03,0.15,0.08,3.76,32491.0178016666666666666666,5233.572950,1276.630350,737.499760,12105.331760,1056.349030,2553.295270,702.030330,6333.8198
D,DISPATCH,PRICE,4,"2024/05/01 00:10:00",1,QLD1,20240430242,0,87.99094,0,87.99094,0,0,"2024/05/01 00:05:04",0.86,0.86,0,0.86,0.86,0,0.39,0.39,0,16.5,16.5,0,0.03,0.03,0,0.15,0.15,0,0.08,0.08,0,3.76,3.76,0,FIRM,87.99094,0.86,0.86,0.39,16.5,0.03,0.15,0.08,3.76,28642.528345,5233.572950,1276.630350,737.499760,12105.331760,1056.349030,2553.295270,702.030330,6333.8198
D,DISPATCH,PRICE,4,"2024/05/01 00:10:00",1,SA1,20240430242,0,114.50858,0,114.50858,0,0,"2024/05/01 00:05:04",0.86,0.86,0,0.86,0.86,0,0.39,0.39,0,16.5,16.5,0,0.03,0.03,0,0.15,0.15,0,0.08,0.08,0,3.76,3.76,0,FIRM,114.50858,0.86,0.86,0.39,16.5,0.03,0.15,0.08,3.76,32229.9811116666666666666666,5233.572950,1276.630350,737.499760,12105.331760,1056.349030,2553.295270,702.030330,6333.8198
D,DISPATCH,PRICE,4,"2024/05/01 00:10:00",1,TAS1,20240430242,0,110.2,0,110.2,0,0,"2024/05/01 00:05:04",0.86,0.86,0,0.86,0.86,0,0,0,0,5.43,5.43,0,0.38,0.38,0,0.38,0.38,0,0.08,0.08,0,3.32,3.32,0,FIRM,110.2,0.86,0.86,0,5.43,0.38,0.38,0.08,3.32,23616.4574450000000000000000,12536.696280,769.1241,473.269310,15209.475860,6852.170020,2464.877820,480.138320,8322.2734
D,DISPATCH,PRICE,4,"2024/05/01 00:10:00",1,VIC1,20240430242,0,126.80949,0,126.80949,0,0,"2024/05/01 00:05:04",0.86,0.86,0,0.86,0.86,0,0.39,0.39,0,16.5,16.5,0,0.03,0.03,0,0.15,0.15,0,0.08,0.08,0,3.76,3.76,0,FIRM,126.80949,0.86,0.86,0.39,16.5,0.03,0.15,0.08,3.76,32509.8768833333333333333333,5233.572950,1276.630350,737.499760,12105.331760,1056.349030,2553.295270,702.030330,6333.8198
