C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2024/02/07,00:20:08,0000000410396541,,0000000410396500
I,DISPATCH,PRICE,4,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE
D,DISPATCH,PRICE,4,"2024/01/01 00:05:00",1,NSW1,20231231241,0,57.98,0,57.98,0,0,"2024/01/01 00:00:03",1.05,1.05,0,0.75,0.75,0,0.49,0.49,0,0.91,0.91,0,0.14,0.14,0,0.39,0.39,0,0,0,0,3.99,3.99,0,FIRM,57.98,1.05,0.75,0.49,0.91,0.14,0.39,0,3.99,13878.2169050000000000000000,917.787970,804.50,726.24,10422.273110,1576.772290,8632.642690,808.911620,11859.4994
D,DISPATCH,PRICE,4,"2024/01/01 00:05:00",1,QLD1,20231231241,0,65.49158,0,65.49158,0,0,"2024/01/01 00:00:03",1.05,1.05,0,0.75,0.75,0,0.49,0.49,0,0.91,0.91,0,0.14,0.14,0,0.39,0.39,0,0,0,0,3.99,3.99,0,FIRM,65.49158,1.05,0.75,0.49,0.91,0.14,0.39,0,3.99,46563.9301333333333333333333,917.787970,804.50,726.24,10422.273110,1576.772290,8632.642690,808.911620,11859.4994
D,DISPATCH,PRICE,4,"2024/01/01 00:05:00",1,SA1,20231231241,0,54.42061,0,54.42061,0,0,"2024/01/01 00:00:03",1.05,1.05,0,0.75,0.75,0,0.49,0.49,0,0.91,0.91,0,0.14,0.14,0,0.39,0.39,0,0,0,0,3.99,3.99,0,FIRM,54.42061,1.05,0.75,0.49,0.91,0.14,0.39,0,3.99,-1074.342331666666666666666666,917.787970,804.50,726.24,10422.273110,1576.772290,8632.642690,808.911620,11859.4994
D,DISPATCH,PRICE,4,"2024/01/01 00:05:00",1,TAS1,20231231241,0,85.28,0,85.28,0,0,"2024/01/01 00:00:03",1.05,1.05,0,0.75,0.75,0,0.49,0.49,0,5.46,5.46,0,0.14,0.14,0,0.39,0.39,0,0,0,0,5.9,5.9,0,FIRM,85.28,1.05,0.75,0.49,5.46,0.14,0.39,0,5.9,10694.727050,973.2995,957.64,751.41,10935.312380,1791.278210,6000.4513,39.900420,16602.643920
D,DISPATCH,PRICE,4,"2024/01/01 00:05:00",1,VIC1,20231231241,0,51.8037,0,51.8037,0,0,"2024/01/01 00:00:03",1.05,1.05,0,0.75,0.75,0,0.49,0.49,0,0.91,0.91,0,0.14,0.14,0,0.39,0.39,0,0,0,0,3.99,3.99,0,FIRM,51.8037,1.05,0.75,0.49,0.91,0.14,0.39,0,3.99,-3314.374419999999999999999999,917.787970,804.50,726.24,10422.273110,1576.772290,8632.642690,808.911620,11859.4994
D,DISPATCH,PRICE,4,"2024/01/01 00:10:00",1,NSW1,20231231242,0,70.27252,0,70.27252,0,0,"2024/01/01 00:05:04",1.05,1.05,0,0.49,0.49,0,0.39,0.39,0,1,1,0,0.34,0.34,0,0.39,0.39,0,0.01,0.01,0,6,6,0,FIRM,70.27252,1.05,0.49,0.39,1,0.34,0.39,0.01,6,13878.2169050000000000000000,918.357970,804.60,726.25,10419.273110,1576.722290,8628.142690,808.911620,11864.4994
D,DISPATCH,PRICE,4,"2024/01/01 00:10:00",1,QLD1,20231231242,0,79.4107,0,79.4107,0,0,"2024/01/01 00:05:04",1.05,1.05,0,0.49,0.49,0,0.39,0.39,0,1,1,0,0.34,0.34,0,0.39,0.39,0,0.01,0.01,0,6,6,0,FIRM,79.4107,1.05,0.49,0.39,1,0.34,0.39,0.01,6,46563.9301333333333333333333,918.357970,804.60,726.25,10419.273110,1576.722290,8628.142690,808.911620,11864.4994
D,DISPATCH,PRICE,4,"2024/01/01 00:10:00",1,SA1,20231231242,0,68.20377,0,68.20377,0,0,"2024/01/01 00:05:04",1.05,1.05,0,0.49,0.49,0,0.39,0.39,0,1,1,0,0.34,0.34,0,0.39,0.39,0,0.01,0.01,0,6,6,0,FIRM,68.20377,1.05,0.49,0.39,1,0.34,0.39,0.01,6,-1074.342331666666666666666666,918.357970,804.60,726.25,10419.273110,1576.722290,8628.142690,808.911620,11864.4994
D,DISPATCH,PRICE,4,"2024/01/01 00:10:00",1,TAS1,20231231242,0,85.28,0,85.28,0,0,"2024/01/01 00:05:04",1.05,1.05,0,0.49,0.49,0,0.39,0.39,0,5.46,5.46,0,0.34,0.34,0,0.39,0.39,0,0,0,0,5.9,5.9,0,FIRM,85.28,1.05,0.49,0.39,5.46,0.34,0.39,0,5.9,10694.727050,973.2395,957.74,751.42,10935.524660,1791.228210,5996.1913,39.900420,16603.393920
D,DISPATCH,PRICE,4,"2024/01/01 00:10:00",1,VIC1,20231231242,0,64.27317,0,64.27317,0,0,"2024/01/01 00:05:04",1.05,1.05,0,0.49,0.49,0,0.39,0.39,0,1,1,0,0.34,0.34,0,0.39,0.39,0,0.01,0.01,0,6,6,0,FIRM,64.27317,1.05,0.49,0.39,1,0.34,0.39,0.01,6,-3314.374419999999999999999999,918.357970,804.60,726.25,10419.273110,1576.722290,8628.142690,808.911620,11864.4994
D,DISPATCH,PRICE,4,"2024/01/01 00:15:00",1,NSW1,20231231243,0,57.98,0,57.98,0,0,"2024/01/01 00:10:03",0.86,0.86,0,0.49,0.49,0,0.39,0.39,0,5,5,0,0.03,0.03,0,0.38,0.38,0,0,0,0,1.2,1.2,0,FIRM,57.98,0.86,0.49,0.39,5,0.03,0.38,0,1.2,13878.2169050000000000000000,918.717970,804.70,726.26,10422.273110,1576.362290,8628.072690,808.911620,11862.0794
