C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2024/07/19,00:10:04,0000000426661501,,0000000426661461
I,DISPATCH,PRICE,4,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE
D,DISPATCH,PRICE,4,"2024/06/01 00:05:00",1,NSW1,20240531241,0,180.60374,0,180.60374,0,0,"2024/06/01 00:00:04",0.86,0.86,0,0.79,0.79,0,0.39,0.39,0,7.73,7.73,0,0,0,0,0.07,0.07,0,0.01,0.01,0,1.5,1.5,0,FIRM,180.60374,0.86,0.79,0.39,7.73,0,0.07,0.01,1.5,34566.8201566666666666666666,2779.951250,989.406970,690.4244,12473.8605,903.768220,2464.152150,923.421390,6605.120310
D,DISPATCH,PRICE,4,"2024/06/01 00:05:00",1,QLD1,20240531241,0,173.00503,0,173.00503,0,0,"2024/06/01 00:00:04",0.86,0.86,0,0.79,0.79,0,0.39,0.39,0,7.73,7.73,0,0,0,0,0.07,0.07,0,0.01,0.01,0,1.5,1.5,0,FIRM,173.00503,0.86,0.79,0.39,7.73,0,0.07,0.01,1.5,29593.6273000000000000000000,2779.951250,989.406970,690.4244,12473.8605,903.768220,2464.152150,923.421390,6605.120310
D,DISPATCH,PRICE,4,"2024/06/01 00:05:00",1,SA1,20240531241,0,195.49998,0,195.49998,0,0,"2024/06/01 00:00:04",0.86,0.86,0,0.79,0.79,0,0.39,0.39,0,7.73,7.73,0,0,0,0,0.07,0.07,0,0.01,0.01,0,1.5,1.5,0,FIRM,195.49998,0.86,0.79,0.39,7.73,0,0.07,0.01,1.5,33649.2871216666666666666666,2779.951250,989.406970,690.4244,12473.8605,903.768220,2464.152150,923.421390,6605.120310
D,DISPATCH,PRICE,4,"2024/06/01 00:05:00",1,TAS1,20240531241,0,150.2,0,150.2,0,0,"2024/06/01 00:00:04",0.05,0.05,0,0.79,0.79,0,0,0,0,7.07,7.07,0,4.65,4.65,0,0.38,0.38,0,0.38,0.38,0,4.08,4.08,0,FIRM,150.2,0.05,0.79,0,7.07,4.65,0.38,0.38,4.08,37268.403010,2745.0862,2804.899750,1832.222730,51308.022570,2490.097290,2452.906050,267.738610,49886.296150
D,DISPATCH,PRICE,4,"2024/06/01 00:05:00",1,VIC1,20240531241,0,172.99,0,172.99,0,0,"2024/06/01 00:00:04",0.86,0.86,0,0.79,0.79,0,0.39,0.39,0,7.73,7.73,0,0,0,0,0.07,0.07,0,0.01,0.01,0,1.5,1.5,0,FIRM,172.99,0.86,0.79,0.39,7.73,0,0.07,0.01,1.5,32242.172945,2779.951250,989.406970,690.4244,12473.8605,903.768220,2464.152150,923.421390,6605.120310
D,DISPATCH,PRICE,4,"2024/06/01 00:10:00",1,NSW1,20240531242,0,155.8628,0,155.8628,0,0,"2024/06/01 00:05:03",7.32,7.32,0,2.14,2.14,0,0.71,0.71,0,3.38,3.38,0,0.14,0.14,0,0.38,0.38,0,0.08,0.08,0,0.08,0.08,0,FIRM,155.8628,7.32,2.14,0.71,3.38,0.14,0.38,0.08,0.08,34566.8201566666666666666666,2786.881250,991.156970,690.7444,12460.5105,903.518220,2464.082150,923.111390,6604.080310
D,DISPATCH,PRICE,4,"2024/06/01 00:10:00",1,QLD1,20240531242,0,148.2632,0,148.2632,0,0,"2024/06/01 00:05:03",7.32,7.32,0,2.14,2.14,0,0.71,0.71,0,3.38,3.38,0,0.14,0.14,0,0.38,0.38,0,0.08,0.08,0,0.08,0.08,0,FIRM,148.2632,7.32,2.14,0.71,3.38,0.14,0.38,0.08,0.08,29593.6273000000000000000000,2786.881250,991.156970,690.7444,12460.5105,903.518220,2464.082150,923.111390,6604.080310
D,DISPATCH,PRICE,4,"2024/06/01 00:10:00",1,SA1,20240531242,0,173.44,0,173.44,0,0,"2024/06/01 00:05:03",7.32,7.32,0,2.14,2.14,0,0.71,0.71,0,3.38,3.38,0,0.14,0.14,0,0.38,0.38,0,0.08,0.08,0,0.08,0.08,0,FIRM,173.44,7.32,2.14,0.71,3.38,0.14,0.38,0.08,0.08,33649.2871216666666666666666,2786.881250,991.156970,690.7444,12460.5105,903.518220,2464.082150,923.111390,6604.080310
D,DISPATCH,PRICE,4,"2024/06/01 00:10:00",1,TAS1,20240531242,0,149.12,0,149.12,0,0,"2024/06/01 00:05:03",7.32,7.32,0,2.14,2.14,0,0.38,0.38,0,7.07,7.07,0,0.38,0.38,0,0.38,0.38,0,0.08,0.08,0,4.08,4.08,0,FIRM,149.12,7.32,2.14,0.38,7.07,0.38,0.38,0.08,4.08,37268.403010,2752.0162,2806.649750,1832.212730,51309.312570,2490.087290,2452.836050,267.818610,49887.336150
D,DISPATCH,PRICE,4,"2024/06/01 00:10:00",1,VIC1,20240531242,0,147.99,0,147.99,0,0,"2024/06/01 00:05:03",7.32,7.32,0,2.14,2.14,0,0.71,0.71,0,3.38,3.38,0,0.14,0.14,0,0.38,0.38,0,0.08,0.08,0,0.08,0.08,0,FIRM,147.99,7.32,2.14,0.71,3.38,0.14,0.38,0.08,0.08,32242.172945,2786.881250,991.156970,690.7444,12460.5105,903.518220,2464.082150,923.111390,6604.080310
D,DISPATCH,PRICE,4,"2024/06/01 00:15:00",1,NSW1,20240531243,0,163.81553,0,163.81553,0,0,"2024/06/01 00:10:05",1.84,1.84,0,0.86,0.86,0,0.39,0.39,0,5.5641,5.5641,0,0.03,0.03,0,0.15,0.15,0,0.01,0.01,0,3.62,3.62,0,FIRM,163.81553,1.84,0.86,0.39,5.5641,0.03,0.15,0.01,3.62,34566.8201566666666666666666,2788.331250,991.626970,690.7444,12454.3946,903.408220,2463.852150,922.921390,6606.580310
D,DISPATCH,PRICE,4,"2024/06/01 00:15:00",1,QLD1,20240531243,0,155.77123,0,155.77123,0,0,"2024/06/01 00:10:05",1.84,1.84,0,0.86,0.86,0,0.39,0.39,0,5.5641,5.5641,0,0.03,0.03,0,0.15,0.15,0,0.01,0.01,0,3.62,3.62,0,FIRM,155.77123,1.84,0.86,0.39,5.5641,0.03,0.15,0.01,3.62,29593.6273000000000000000000,2788.331250,991.626970,690.7444,12454.3946,903.408220,2463.852150,922.921390,6606.580310
D,DISPATCH,PRICE,4,"2024/06/01 00:15:00",1,SA1,20240531243,0,177.77,0,177.77,0,0,"2024/06/01 00:10:05",1.84,1.84,0,0.86,0.86,0,0.39,0.39,0,5.5641,5.5641,0,0.03,0.03,0,0.15,0.15,0,0.01,0.01,0,3.62,3.62,0,FIRM,177.77,1.84,0.86,0.39,5.5641,0.03,0.15,0.01,3.62,33649.2871216666666666666666,2788.331250,991.626970,690.7444,12454.3946,903.408220,2463.852150,922.921390,6606.580310
D,DISPATCH,PRICE,4,"2024/06/01 00:15:00",1,TAS1,20240531243,0,150.2,0,150.2,0,0,"2024/06/01 00:10:05",1.84,1.84,0,0.86,0.86,0,0,0,0,7.07,7.07,0,0.38,0.38,0,0.38,0.38,0,0.01,0.01,0,4.08,4.08,0,FIRM,150.2,1.84,0.86,0,7.07,0.38,0.38,0.01,4.08,37268.403010,2753.4662,2807.119750,1831.822730,51310.602570,2490.327290,2452.836050,267.628610,49889.376150
