C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2024/05/07,00:15:10,0000000418736035,,0000000418735995
I,DISPATCH,PRICE,4,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE
D,DISPATCH,PRICE,4,"2024/04/01 00:05:00",1,NSW1,20240331241,0,58.02,0,58.02,0,0,"2024/04/01 00:00:02",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,5,5,0,0.14,0.14,0,0.39,0.39,0,0.01,0.01,0,0.01,0.01,0,FIRM,58.02,0.39,0.39,0.39,5,0.14,0.39,0.01,0.01,21474.0548333333333333333333,1167.440170,808.925930,662.64,9298.9044,945.975390,5912.030440,909.140380,6743.671670
D,DISPATCH,PRICE,4,"2024/04/01 00:05:00",1,QLD1,20240331241,0,59.66236,0,59.66236,0,0,"2024/04/01 00:00:02",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,5,5,0,0.14,0.14,0,0.39,0.39,0,0.01,0.01,0,0.01,0.01,0,FIRM,59.66236,0.39,0.39,0.39,5,0.14,0.39,0.01,0.01,22610.5556549999999999999999,1194.540650,820.975930,666.71,9302.9744,954.655390,5912.030440,909.140380,6743.671670
D,DISPATCH,PRICE,4,"2024/04/01 00:05:00",1,SA1,20240331241,0,229.98,0,229.98,0,0,"2024/04/01 00:00:02",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,5,5,0,0.14,0.14,0,0.39,0.39,0,0.01,0.01,0,0.01,0.01,0,FIRM,229.98,0.39,0.39,0.39,5,0.14,0.39,0.01,0.01,19480.4910116666666666666666,1167.440170,808.925930,662.64,9298.9044,945.975390,5912.030440,909.140380,6743.671670
D,DISPATCH,PRICE,4,"2024/04/01 00:05:00",1,TAS1,20240331241,0,70.12,0,70.12,0,0,"2024/04/01 00:00:02",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,6.73,6.73,0,0.14,0.14,0,0.39,0.39,0,0,0,0,3.96,3.96,0,FIRM,70.12,0.39,0.39,0.39,6.73,0.14,0.39,0,3.96,21734.7330350000000000000000,1405.877120,1669.294690,626.362480,12379.570740,1137.2901,5371.563240,142.113090,7377.591130
D,DISPATCH,PRICE,4,"2024/04/01 00:05:00",1,VIC1,20240331241,0,53.47818,0,53.47818,0,0,"2024/04/01 00:00:02",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,5,5,0,0.14,0.14,0,0.39,0.39,0,0.01,0.01,0,0.01,0.01,0,FIRM,53.47818,0.39,0.39,0.39,5,0.14,0.39,0.01,0.01,15245.4382283333333333333333,1167.440170,808.925930,662.64,9298.9044,945.975390,5912.030440,909.140380,6743.671670
D,DISPATCH,PRICE,4,"2024/04/01 00:10:00",1,NSW1,20240331242,0,58,0,58,0,0,"2024/04/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.38,3.38,0,0.39,0.39,0,0.45,0.45,0,0.45,0.45,0,1.12,1.12,0,FIRM,58,0.39,0.39,0.39,3.38,0.39,0.45,0.45,1.12,21474.0548333333333333333333,1167.440170,808.935930,662.73,9297.3044,945.975390,5912.090440,909.580380,6744.781670
D,DISPATCH,PRICE,4,"2024/04/01 00:10:00",1,QLD1,20240331242,0,59.75,0,59.75,0,0,"2024/04/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.38,3.38,0,0.39,0.39,0,0.45,0.45,0,0.45,0.45,0,1.12,1.12,0,FIRM,59.75,0.39,0.39,0.39,3.38,0.39,0.45,0.45,1.12,22610.5556549999999999999999,1194.540650,820.985930,666.80,9301.3744,954.655390,5912.090440,909.580380,6744.781670
D,DISPATCH,PRICE,4,"2024/04/01 00:10:00",1,SA1,20240331242,0,64.19188,0,64.19188,0,0,"2024/04/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.38,3.38,0,0.39,0.39,0,0.45,0.45,0,0.45,0.45,0,1.12,1.12,0,FIRM,64.19188,0.39,0.39,0.39,3.38,0.39,0.45,0.45,1.12,19480.4910116666666666666666,1167.440170,808.935930,662.73,9297.3044,945.975390,5912.090440,909.580380,6744.781670
D,DISPATCH,PRICE,4,"2024/04/01 00:10:00",1,TAS1,20240331242,0,70.12,0,70.12,0,0,"2024/04/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,5.75156,5.75156,0,0.39,0.39,0,0.45,0.45,0,0,0,0,2.96,2.96,0,FIRM,70.12,0.39,0.39,0.39,5.75156,0.39,0.45,0,2.96,21734.7330350000000000000000,1405.877120,1669.304690,626.452480,12381.2223,1137.2901,5371.623240,142.103090,7349.2393
D,DISPATCH,PRICE,4,"2024/04/01 00:10:00",1,VIC1,20240331242,0,52.95791,0,52.95791,0,0,"2024/04/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.38,3.38,0,0.39,0.39,0,0.45,0.45,0,0.45,0.45,0,1.12,1.12,0,FIRM,52.95791,0.39,0.39,0.39,3.38,0.39,0.45,0.45,1.12,15245.4382283333333333333333,1167.440170,808.935930,662.73,9297.3044,945.975390,5912.090440,909.580380,6744.781670
