C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2024/04/10,19:50:10,0000000416011352,,0000000416011312
I,DISPATCH,PRICE,4,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE
D,DISPATCH,PRICE,4,"2024/03/01 00:05:00",1,NSW1,20240229241,0,88.89,0,88.89,0,0,"2024/03/01 00:00:03",0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,7.99,7.99,0,0.03,0.03,0,0.38,0.38,0,0,0,0,0,0,0,FIRM,88.89,0.39,0.39,0.38,7.99,0.03,0.38,0,0,68851.2150399999999999999999,1191.526650,778.795110,719.206920,10568.452760,600.0620,2067.947510,389.573790,4958.100230
D,DISPATCH,PRICE,4,"2024/03/01 00:05:00",1,QLD1,20240229241,0,92.13045,0,92.13045,0,0,"2024/03/01 00:00:03",0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,7.99,7.99,0,0.03,0.03,0,0.38,0.38,0,0,0,0,0,0,0,FIRM,92.13045,0.39,0.39,0.38,7.99,0.03,0.38,0,0,69228.6925149999999999999999,1191.526650,778.795110,719.206920,10568.452760,600.0620,2067.947510,389.573790,4958.100230
D,DISPATCH,PRICE,4,"2024/03/01 00:05:00",1,SA1,20240229241,0,93.12137,0,93.12137,0,0,"2024/03/01 00:00:03",0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,7.99,7.99,0,0.03,0.03,0,0.38,0.38,0,0,0,0,0,0,0,FIRM,93.12137,0.39,0.39,0.38,7.99,0.03,0.38,0,0,23722.3271766666666666666666,1191.526650,778.795110,719.206920,10568.452760,600.0620,2067.947510,389.573790,4958.100230
D,DISPATCH,PRICE,4,"2024/03/01 00:05:00",1,TAS1,20240229241,0,98.27,0,98.27,0,0,"2024/03/01 00:00:03",0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,5.15,5.15,0,0.03,0.03,0,0.38,0.38,0,0,0,0,3.62,3.62,0,FIRM,98.27,0.39,0.39,0.38,5.15,0.03,0.38,0,3.62,17964.7902683333333333333333,2495.712940,1104.6699,938.712850,16222.919010,833.237150,1684.659750,94.330730,17304.902290
D,DISPATCH,PRICE,4,"2024/03/01 00:05:00",1,VIC1,20240229241,0,90.09827,0,90.09827,0,0,"2024/03/01 00:00:03",0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,7.99,7.99,0,0.03,0.03,0,0.38,0.38,0,0,0,0,0,0,0,FIRM,90.09827,0.39,0.39,0.38,7.99,0.03,0.38,0,0,10523.2209849999999999999999,1191.526650,778.795110,719.206920,10568.452760,600.0620,2067.947510,389.573790,4958.100230
D,DISPATCH,PRICE,4,"2024/03/01 00:10:00",1,NSW1,20240229242,0,90.74796,0,90.74796,0,0,"2024/03/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,7.99,7.99,0,0.14,0.14,0,0.45,0.45,0,0,0,0,0,0,0,FIRM,90.74796,0.39,0.39,0.39,7.99,0.14,0.45,0,0,68851.2150399999999999999999,1191.526650,778.795110,719.206920,10568.452760,600.0020,2068.007510,389.373790,4957.390230
D,DISPATCH,PRICE,4,"2024/03/01 00:10:00",1,QLD1,20240229242,0,92.75987,0,92.75987,0,0,"2024/03/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,7.99,7.99,0,0.14,0.14,0,0.45,0.45,0,0,0,0,0,0,0,FIRM,92.75987,0.39,0.39,0.39,7.99,0.14,0.45,0,0,69228.6925149999999999999999,1191.526650,778.795110,719.206920,10568.452760,600.0020,2068.007510,389.373790,4957.390230
D,DISPATCH,PRICE,4,"2024/03/01 00:10:00",1,SA1,20240229242,0,96.3732,0,96.3732,0,0,"2024/03/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,7.99,7.99,0,0.14,0.14,0,0.45,0.45,0,0,0,0,0,0,0,FIRM,96.3732,0.39,0.39,0.39,7.99,0.14,0.45,0,0,23722.3271766666666666666666,1191.526650,778.795110,719.206920,10568.452760,600.0020,2068.007510,389.373790,4957.390230
D,DISPATCH,PRICE,4,"2024/03/01 00:10:00",1,TAS1,20240229242,0,99.28,0,99.28,0,0,"2024/03/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,5.16,5.16,0,0.14,0.14,0,0.45,0.45,0,0,0,0,2.62,2.62,0,FIRM,99.28,0.39,0.39,0.39,5.16,0.14,0.45,0,2.62,17964.7902683333333333333333,2495.712940,1104.6699,938.712850,16222.893490,833.177150,1684.719750,94.330730,17303.822290
D,DISPATCH,PRICE,4,"2024/03/01 00:10:00",1,VIC1,20240229242,0,92.7773,0,92.7773,0,0,"2024/03/01 00:05:03",0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,7.99,7.99,0,0.14,0.14,0,0.45,0.45,0,0,0,0,0,0,0,FIRM,92.7773,0.39,0.39,0.39,7.99,0.14,0.45,0,0,10523.2209849999999999999999,1191.526650,778.795110,719.206920,10568.452760,600.0020,2068.007510,389.373790,4957.390230
